rank,arch,encoder,lr,batch_size,val_miou,val_accuracy,building_iou,woodland_iou,params,time_seconds
1,FPN,efficientnet-b3,0.0001,2,0.3582,0.7607,0.1315,0.5796,12475309,297
2,FPN,resnet34,0.0001,4,0.3546,0.7385,0.1314,0.5953,23155909,209
3,DeepLabV3Plus,efficientnet-b3,0.0001,2,0.3309,0.7473,0.1595,0.5732,11681213,317
4,PSPNet,resnet34,0.0001,4,0.3289,0.6863,0.1167,0.5580,21456421,155
5,Unet,mobilenet_v2,0.0001,4,0.3248,0.7502,0.0699,0.6083,6629525,230
6,FPN,resnet50,0.0001,2,0.3058,0.7297,0.0027,0.5236,26116549,277
7,Unet,resnet34,5e-05,4,0.2911,0.7185,0.0002,0.5440,24436949,247
8,Unet,resnet34,0.0001,4,0.2849,0.7396,0.0001,0.5969,24436949,246
9,DeepLabV3Plus,resnet50,0.0001,2,0.2667,0.7434,0.0099,0.5749,26678613,293
10,Unet,efficientnet-b3,0.0001,2,0.2660,0.7093,0.0437,0.5626,13159613,338
11,LinkNet,resnet34,0.0001,4,0.2634,0.6914,0.0042,0.5490,21772069,209
12,MAnet,resnet34,0.0001,2,0.2549,0.7418,0.0294,0.5732,31784213,297
13,DeepLabV3Plus,resnet34,0.0001,2,0.2481,0.6994,0.0021,0.5402,22438485,238
14,Unet,resnet50,0.0001,2,0.2366,0.7186,0.0000,0.5436,32521685,338
15,Unet,resnet34,0.001,4,0.2290,0.7047,0.0000,0.5262,24436949,245
