tile,id,centroid,area_m2,min_veg_distance_m,risk_score,zone_1a_veg_density,zone_1b_veg_density,zone_2_veg_density,overlay_image
68899581_01024_00000,0,"(186, 373)",33.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00000.png
68899581_01024_00000,1,"(50, 211)",52.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00000.png
68899581_01024_00000,2,"(298, 171)",180.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00000.png
68899581_01024_00512,0,"(87, 116)",125.3,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00512.png
68899581_01024_00512,1,"(361, 146)",173.8,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_00512.png
68899581_01024_01024,0,"(162, 117)",58.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_01024.png
68899581_01024_01024,1,"(57, 27)",15.7,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_01024.png
68899581_01024_01536,0,"(139, 164)",136.1,16.87,0.01,0.0,0.0,0.009,overlay/68899581_01024_01536.png
68899581_01024_01536,1,"(372, 145)",198.9,5.26,0.03,0.0,0.008,0.0,overlay/68899581_01024_01536.png
68899581_01024_02048,0,"(479, 206)",50.8,10.89,0.06,0.0,0.0,0.044,overlay/68899581_01024_02048.png
68899581_01024_02048,1,"(315, 213)",189.4,2.96,0.21,0.0,0.02,0.121,overlay/68899581_01024_02048.png
68899581_01024_02048,2,"(93, 174)",152.0,1.64,0.21,0.0,0.071,0.0,overlay/68899581_01024_02048.png
68899581_01024_02560,0,"(439, 188)",91.5,8.68,0.11,0.0,0.011,0.064,overlay/68899581_01024_02560.png
68899581_01024_02560,1,"(53, 177)",72.2,1.15,0.2,0.007,0.039,0.042,overlay/68899581_01024_02560.png
68899581_01024_02560,2,"(259, 204)",123.4,1.91,0.17,0.0,0.058,0.0,overlay/68899581_01024_02560.png
68899581_01024_03072,0,"(24, 195)",34.2,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_03072.png
68899581_01024_03072,1,"(393, 226)",168.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_03072.png
68899581_01024_03072,2,"(170, 197)",177.5,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_03072.png
68899581_01024_03584,0,"(236, 210)",335.3,2.21,0.13,0.0,0.044,0.0,overlay/68899581_01024_03584.png
68899581_01024_04096,0,"(67, 195)",126.9,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01024_04096.png
68899581_01536_00000,0,"(140, 451)",92.4,999.0,0.0,0.0,0.0,0.0,overlay/68899581_01536_00000.png
